"BABYFOOD,JUC,ORANGE&BANANA",0.50,50.0
"BABYFOOD,JUC,ORANGE&PNAPPL",0.48,48.0
"BABYFOOD,JUC,PRUNE&ORANGE",0.70,70.0
"BABYFOOD,JUICE,APPLE",0.47,47.0
"BABYFOOD,JUICE,ORANGE",0.44,44.0
"BABYFOOD,MEAT,BEEF,JUNIOR",1.06,106.0
"BABYFOOD,MEAT,BF,STR",1.07,107.0
"BABYFOOD,MEAT,CHICK STKS,JR",1.88,188.0
"BABYFOOD,MEAT,CHICK,JR",1.49,149.0
"BABYFOOD,MEAT,CHICK,STR",1.30,130.0
"BABYFOOD,MEAT,HAM,JUNIOR",1.25,125.0
"BABYFOOD,MEAT,HAM,STR",1.11,111.0
"BABYFOOD,MEAT,LAMB,JUNIOR",1.12,112.0
"BABYFOOD,MEAT,LAMB,STR",1.03,103.0
"BABYFOOD,MEAT,MEAT STKS,JR",1.84,184.0
"BABYFOOD,MEAT,PORK,STR",1.24,124.0
"BABYFOOD,MEAT,TURKEY STKS,JR",1.82,182.0
"BABYFOOD,MEAT,TURKEY,JR",1.29,129.0
"BABYFOOD,MEAT,TURKEY,STR",1.14,114.0
"BABYFOOD,MEAT,VEAL,JUNIOR",1.10,110.0
"BABYFOOD,MEAT,VEAL,STR",1.01,101.0
"BABYFOOD,OATMEAL CRL W/FRUIT,DRY,INST,TODD",4.02,402.0
"BABYFOOD,PEACHES,DICES,TODD",0.51,51.0
"BABYFOOD,PEARS,DICES,TODD",0.57,57.0
"BABYFOOD,PEAS,DICES,TODD",0.64,64.0
"BABYFOOD,POTATOES,TODDLER",0.51,51.0
"BABYFOOD,PRETZELS",3.97,397.0
"BABYFOOD,TEETHING BISCUITS",3.92,392.0
"BABYFOOD,TURKEY,RICE&VEG,TODD",0.59,59.0
"BABYFOOD,VEG,BEETS,STR",0.34,34.0
"BABYFOOD,VEG,BUTTERNUT SQUASH&CORN",0.50,50.0
"BABYFOOD,VEG,CARROTS,JR",0.32,32.0
"BABYFOOD,VEG,CARROTS,STR",0.27,27.0
"BABYFOOD,VEG,CORN,CRMD,JR",0.65,65.0
"BABYFOOD,VEG,CORN,CRMD,STR",0.57,57.0
"BABYFOOD,VEG,GARDEN VEG,STR",0.37,37.0
"BABYFOOD,VEG,GRN BNS&POTATOES",0.63,63.0
"BABYFOOD,VEG,GRN BNS,CRMD,JR",0.32,32.0
"BABYFOOD,VEG,GRN BNS,JR",0.25,25.0
"BABYFOOD,VEG,GRN BNS,STR",0.25,25.0
"BABYFOOD,VEG,MIX VEG JR",0.41,41.0
"BABYFOOD,VEG,MIX VEG STR",0.41,41.0
"BABYFOOD,VEG,PEAS,CRMD,STR",0.53,53.0
"BABYFOOD,VEG,PEAS,STR",0.40,40.0
"BABYFOOD,VEG,SPINACH,CRMD,STR",0.37,37.0
"BABYFOOD,VEG,SQUASH,JR",0.24,24.0
"BABYFOOD,VEG,SQUASH,STR",0.24,24.0
"BABYFOOD,VEG,SWT POTATOES,JR",0.60,60.0
"BABYFOOD,VEG,SWT POTATOES,STR",0.57,57.0
"BACON,MEATLESS",3.10,310.0
"BAGELS,CINNAMON-RAISIN",2.74,274.0
"BAGELS,CINNAMON-RAISIN,TSTD",2.94,294.0
"BAGELS,EGG",2.78,278.0
"BAGELS,OAT BRAN",2.55,255.0
"BAGELS,PLN,ENR,W/CA PROP (INCL ONION,POPPY,SESAME)",2.75,275.0
